story_id,title,points,status,assignee,priority,blocked,role,description
AUTH-001,Register new school with admin user,5,Todo,Backend,High,false,admin,"As an academy owner, I need to register my school so that I can start using the system with an admin account"
AUTH-002,Login with email and password,3,Done,Backend,High,false,all,"As a user, I need to login with my email and password so that I can access my role-specific dashboard"
AUTH-003,Change password on first login,3,Todo,Backend,High,false,all,"As an invited user, I need to change my temporary password on first login so that I can secure my account"
AUTH-004,Invite teacher via email,5,Todo,Backend,High,false,admin,"As an admin, I need to invite a teacher via email so that they can access the system with a temporary password"
AUTH-005,Invite admin via email,3,Todo,Backend,Medium,false,super_admin,"As a super admin, I need to invite another admin so that they can manage the school"
AUTH-006,Deep linking for Supabase Auth redirect,3,Todo,Mobile,Medium,false,all,"As a user, I need the app to handle Supabase Auth deep links so that I can confirm my email and reset my password"
STU-001,Create new student with parent link,5,Todo,Backend,High,false,admin,"As an admin, I need to create a student with parent contact info so that the parent can track their child"
STU-002,List students by category,3,Done,Backend,High,false,admin/profesor,"As a teacher, I need to view students filtered by my assigned categories so that I see only my students"
STU-003,Update student information,3,Todo,Backend,Medium,false,admin,"As an admin, I need to update student data, medical info, and category so that records stay current"
STU-004,Change student status (active/scholarship/pending/inactive),2,Todo,Backend,Medium,false,admin,"As an admin, I need to change student status so that I can track enrollment state"
STU-005,Mark uniform as delivered,1,Todo,Backend,Low,false,admin,"As an admin, I need to toggle uniform delivery status so that I track uniform distribution"
STU-006,Delete student with audit trail,3,Todo,Backend,Medium,false,admin,"As an admin, I need to delete a student so that they are removed, with audit trail in deleted_students table"
STU-007,View deleted students history,2,Todo,Backend,Low,false,admin,"As an admin, I need to view deleted students so that I can audit past removals"
STU-008,Upload student profile photo,3,Todo,Mobile,Medium,false,admin,"As an admin, I need to upload student photos from camera or gallery so that profiles have images"
STU-009,Parent views only their children,3,Done,Backend,High,false,padre,"As a parent, I need to view only my children so that I respect privacy of other students"
ATT-001,View attendances by category,3,Done,Backend,High,false,profesor,"As a teacher, I need to view attendances for my categories so that I track participation"
ATT-002,View attendances by student,2,Done,Backend,Medium,false,all,"As a user, I need to view attendance history for a student so that I track their attendance"
ATT-003,Take bulk attendance (pass the list),5,Todo,Mobile,High,false,profesor,"As a teacher, I need to take attendance for all students in a training so that I record participation quickly"
ATT-004,Mark training session as completed,2,Todo,Backend,Medium,false,profesor,"As a teacher, I need to mark a training as completed so that attendance cannot be changed"
ATT-005,Upsert attendance (prevent duplicates),3,Done,Backend,High,false,profesor,"As a teacher, I need the system to prevent duplicate attendance records so that data stays clean"
PAY-001,View payments by type and month,3,Done,Backend,High,false,admin,"As an admin, I need to view payments filtered by type (student/teacher) and month so that I track finances"
PAY-002,View payments by student,2,Todo,Backend,Medium,false,padre,"As a parent, I need to view payments for my child so that I track my payment history"
PAY-003,View pending payments (students without payment this month),3,Todo,Backend,High,false,admin,"As an admin, I need to see which students haven't paid this month so that I can follow up"
PAY-004,Register payment for individual student,3,Todo,Backend,High,false,admin,"As an admin, I need to register a payment for a student so that I record their monthly fee"
PAY-005,Register bulk payment for multiple students,5,Todo,Backend,High,false,admin,"As an admin, I need to register a single payment split across multiple students so that I handle group payments"
PAY-006,Register payment to teacher (payroll),3,Todo,Backend,Medium,false,admin,"As an admin, I need to register a payment to a teacher so that I track payroll"
PAY-007,Send push notification to parent on payment,3,Todo,Backend,High,false,admin,"As an admin, I need the system to notify parents when payments are recorded so that they get confirmation"
PAY-008,Export payments to PDF,3,Todo,Mobile,Medium,false,admin,"As an admin, I need to export payment reports to PDF so that I can share or print them"
PAY-009,Export payments to Excel,3,Todo,Mobile,Medium,false,admin,"As an admin, I need to export payment reports to Excel so that I can analyze financially"
EVT-001,View events by category,3,Done,Backend,High,false,profesor,"As a teacher, I need to view events filtered by my categories so that I see my schedule"
EVT-002,View today's trainings,3,Todo,Mobile,High,false,profesor,"As a teacher, I need to view today's training sessions so that I know where to go"
EVT-003,Create event with recurrence (weekly/biweekly/monthly),8,Todo,Backend,High,false,admin,"As an admin, I need to create recurring events so that I don't manually schedule each session"
EVT-004,View all trainings generated from a recurring event,3,Todo,Backend,Medium,false,admin,"As an admin, I need to view all sessions generated from a recurring event so that I can manage them"
EVT-005,Cancel individual training session,3,Todo,Backend,Medium,false,admin,"As an admin, I need to cancel a training session so that teachers and parents are notified"
EVT-006,Cancel entire recurring event,3,Todo,Backend,Medium,false,admin,"As an admin, I need to cancel a recurring event so that all future sessions are removed"
EVT-007,Delete event and all its trainings,3,Todo,Backend,Medium,false,admin,"As an admin, I need to delete an event so that all related sessions are removed"
EVT-008,Notify parents on session cancellation,3,Todo,Backend,Medium,false,admin,"As an admin, I need parents to be notified when a session is cancelled so that they don't send their children"
CAT-001,List all categories with assigned teacher,3,Done,Backend,High,false,all,"As a user, I need to view all categories with their assigned teachers so that I understand the structure"
CAT-002,View my assigned categories (teacher),2,Todo,Backend,Medium,false,profesor,"As a teacher, I need to view only my assigned categories so that I know my responsibilities"
CAT-003,Create new category based on birth year,3,Todo,Backend,High,false,admin,"As an admin, I need to create a category based on birth year so that I group students by age"
CAT-004,Update category name, year, and assigned teacher,3,Todo,Backend,Medium,false,admin,"As an admin, I need to update category details and teacher assignment so that the structure stays current"
CAT-005,Assign teacher to category,3,Todo,Backend,Medium,false,admin,"As an admin, I need to assign a teacher to a category so that they become responsible for it"
VEN-001,List all venues,2,Done,Backend,Medium,false,all,"As a user, I need to view all venues so that I know where trainings are held"
VEN-002,Create new venue,3,Todo,Backend,Medium,false,admin,"As an admin, I need to create a venue with name and address so that I can schedule trainings there"
VEN-003,Update venue information,2,Todo,Backend,Low,false,admin,"As an admin, I need to update venue details so that information stays accurate"
VEN-004,Delete venue,2,Todo,Backend,Low,false,admin,"As an admin, I need to delete a venue so that I remove unused locations"
PERM-001,View my permissions (teacher),2,Todo,Backend,Medium,false,profesor,"As a teacher, I need to view my permissions so that I understand what I can access"
PERM-002,View permissions of a teacher (admin),2,Todo,Backend,Low,false,admin,"As an admin, I need to view a teacher's permissions so that I can review their access"
PERM-003,Update teacher permissions,3,Todo,Backend,Medium,false,admin,"As an admin, I need to update a teacher's permissions so that I control their access to features"
USR-001,List users filtered by role,3,Todo,Backend,Medium,false,admin,"As an admin, I need to list users filtered by role so that I can manage staff"
USR-002,View teacher details with categories and email,3,Todo,Backend,Medium,false,admin,"As an admin, I need to view teacher details with their categories so that I understand their profile"
USR-003,Update user profile (name, phone, emergency contact),3,Todo,Backend,Medium,false,all,"As a user, I need to update my profile so that my contact info stays current"
USR-004,Update academy profile (name, logo),3,Todo,Backend,Medium,false,admin,"As an admin, I need to update school name and logo so that branding is correct"
MULTI-001,Enforce school_id on all API requests,5,Done,Backend,High,false,admin,"As the system, I need to enforce school_id on all requests so that multi-tenant isolation is maintained"
MULTI-002,Set tenant context via middleware,5,Done,Backend,High,false,admin,"As the system, I need to set req.tenant with school_id, role, user_id so that all queries are scoped"
MULTI-003,Validate JWT and set req.user,3,Done,Backend,High,false,admin,"As the system, I need to validate Supabase JWT on every request so that only authenticated users access the API"
PUSH-001,Register Expo push token on login,3,Todo,Mobile,Medium,false,all,"As a user, I need my push token registered on login so that I can receive notifications"
PUSH-002,Send push notification to parent on payment,3,Todo,Backend,High,false,admin,"As the system, I need to send a push notification to parents when payments are recorded so that they are informed"
PUSH-003,Send push notification to parent on cancellation,3,Todo,Backend,Medium,false,admin,"As the system, I need to send a push notification to parents when sessions are cancelled so that they are informed"
MOB-001,Role-based tab navigation,5,Done,Mobile,High,false,all,"As a user, I need to see tabs based on my role so that I access relevant features"
MOB-002,Dashboard home screen,3,Todo,Mobile,Medium,false,all,"As a user, I need a dashboard showing today's trainings and pending items so that I see what's due"
MOB-003,Attendance tab with date navigation,3,Todo,Mobile,High,false,profesor,"As a teacher, I need a tab to navigate dates and view/take attendances so that I manage daily attendance"
MOB-004,Finances tab with month filter,3,Todo,Mobile,High,false,admin,"As an admin, I need a tab to view payments by month and register new ones so that I manage finances"
MOB-005,Profile tab with settings,3,Todo,Mobile,Medium,false,all,"As a user, I need a profile tab to view my info and change password so that I manage my account"
WEB-001,Web app login page,3,Done,Web,High,false,all,"As a user, I need a web login page so that I can access the system from a browser"
WEB-002,Web app dashboard,5,Todo,Web,Medium,false,all,"As a user, I need a web dashboard so that I can manage the academy from a desktop"
WEB-003,Web app admin screens (students, teachers, events),8,Todo,Web,Medium,false,admin,"As an admin, I need web screens for all admin functions so that I can work from desktop"
EXPORT-001,Export attendance to PDF,3,Todo,Mobile,Low,false,admin,"As an admin, I need to export attendance reports to PDF so that I can share them"
EXPORT-002,Export attendance to Excel,3,Todo,Mobile,Low,false,admin,"As an admin, I need to export attendance reports to Excel so that I can analyze data"
NOTIF-001,Parent receives payment notification,3,Todo,Mobile,Medium,false,padre,"As a parent, I need to receive push notifications when payments are recorded so that I stay informed"
NOTIF-002,Parent receives cancellation notification,3,Todo,Mobile,Medium,false,padre,"As a parent, I need to receive push notifications when sessions are cancelled so that I don't send my child"
